BoroCode,Block,Lot,Address,CT2010,CB2010,NumBldgs,NumFloors,BldgArea,BldgDepth,BldgFront,BldgClass,LotArea,LotDepth,LotFront,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,UnitsRes,UnitsTotal,YearBuilt,YearAlter1,YearAlter2,IrrLotCode,LandUse,FAR,MaxAllwFAR,CornerLot,LotType,ZoneDist,ZoneDist2,ZoneDist3,ZoneDist4,Overlay,Year,PlutoVer,FAR_bar,AtticAllowance,IHBonus,OverlayBonus,ComFacilFAR,FAR_bar_attic,FAR_bar_ih,FAR_bar_overlay,FAR_bar_attic_overlay,FAR_bar_ih_overlay,FAR_bar_attic_com,FAR_bar_ih_com,FAR_bar_overlay_com,FAR_bar_ih_overlay_com,FAR_ratio,YQ_redev,FAR_prev,YearBuilt_prev,NewBldg
4,945,5,19-24 77 STREET,317.0,1004,1.0,3.0,4944,51.52,24.0,C0,3223,100.0,32.23,0,3708,0,0,0,0,0,3.0,3,2004,,,false,2,1.53,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.7,2005,0.45,1920,1
4,945,26,19-54 77 STREET,317.0,1004,1.0,3.0,3744,52.0,24.0,C2,4000,100.0,40.0,0,3744,0,0,0,0,0,6.0,6,2005,,,false,2,0.94,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.0444444444444443,2005,0.32,1955,1
4,1005,58,22-19 73 STREET,317.0,4008,1.0,3.0,4320,45.0,32.0,C0,4000,100.0,40.0,0,4320,0,0,0,0,0,3.0,3,2004,,,false,2,1.08,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2,2005,0.23,1930,1
4,1129,45,30-53 80 STREET,309.03,2000,1.0,3.0,3222,54.8,20.5,C0,2950,100.0,29.5,0,3222,0,0,0,0,0,3.0,3,2003,,,false,2,1.09,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2111111111111112,2005,0.33,1940,1
4,2186,121,65-43 110 STREET,747.0,2000,1.0,3.0,3048,52.0,19.0,C0,2700,100.0,27.0,0,3048,0,0,0,0,0,3.0,3,2002,,,false,2,1.13,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2555555555555553,2005,0.46,1940,1
4,2293,5,50-63 43 STREET,187.0,1002,1.0,3.0,2314,41.9,20.0,C0,2520,90.01,28.0,0,2314,0,0,0,0,0,3.0,3,2005,,,false,2,0.92,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.0222222222222221,2005,0.36,1930,1
4,3788,51,68-26 76 STREET,619.0,1001,1.0,3.0,2886,55.0,17.5,B2,1750,100.0,17.5,0,2886,0,0,0,0,0,2.0,2,2004,,,false,1,1.65,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.8333333333333333,2005,0.58,1931,1
4,5131,11,55-31 138 STREET,799.0,1000,1.0,3.0,5520,60.0,23.0,C2,4000,100.0,40.0,0,5520,0,0,0,0,0,6.0,6,2004,,,false,2,1.38,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.5333333333333332,2005,0.47,1940,1
4,6371,16,136-26 BOOTH MEMORIAL AVE,799.0,2004,1.0,3.0,3498,58.0,20.72,C0,2824,140.52,20.72,0,3498,0,0,0,0,0,3.0,3,2004,2009.0,,true,2,1.24,0.9,,5,R4,,,,C1-2,2017,21,0.75,0.15,0.0,1.0,2.0,0.9,0.75,1.75,1.9,1.75,2.9,2.75,3.75,3.75,1.3777777777777778,2005,0.23,1920,1
4,6661,36,144-43 72 DRIVE,779.07,1006,1.0,3.0,2599,36.0,27.25,C0,2235,60.0,37.25,0,2599,0,0,0,0,0,3.0,3,2004,,,false,2,1.16,0.9,,5,R4,,,,,2017,21,0.75,0.15,0.0,0.0,2.0,0.9,0.75,0.75,0.9,0.75,2.9,2.75,2.75,2.75,1.2888888888888888,2005,0.25,1935,0
